name,name_lower,category,description,good_for,avoid,sensitivity_score,breadth_score,pregnancy_safe
Niacinamide,niacinamide,Vitamin,"Niacinamide (Vitamin B3) is a water-soluble vitamin that works to improve uneven skin tone, reduce pore appearance, strengthen the skin barrier, and regulate oil production. It is well-tolerated by most skin types and is one of the most versatile skincare ingredients available.","['Acne', 'Blackheads', 'Dry Skin', 'Enlarged Pores', 'Impaired Skin Barrier', 'Pigmentation', 'Redness', 'Radiance', 'Pregnancy Safe', 'Texture']","['Related Allergy']",0,9,True
Glycerin,glycerin,Humectant,"Glycerin is a powerful humectant that draws water from the environment into the skin. It is one of the most common and effective moisturizing ingredients in skincare, helping to maintain the skin barrier and keep skin hydrated and plump.","['Dry Skin', 'Impaired Skin Barrier', 'Radiance', 'Pregnancy Safe', 'Texture']","['Related Allergy']",0,4,True
Hyaluronic Acid,hyaluronic acid,Humectant,"Hyaluronic acid is a naturally occurring substance in the skin that can hold up to 1000x its weight in water. In skincare it provides intense hydration, plumps the skin, and reduces the appearance of fine lines.","['Dry Skin', 'Fine Lines', 'Impaired Skin Barrier', 'Radiance', 'Pregnancy Safe', 'Texture', 'Wrinkles']","['Related Allergy']",0,6,True
Butylene Glycol,butylene glycol,Humectant,"Butylene glycol is a lightweight humectant and solvent commonly used in skincare. It helps products spread easily, enhances penetration of other ingredients, and provides mild moisturizing benefits.","['Dry Skin', 'Pregnancy Safe', 'Texture']","['Related Allergy']",0,2,True
Pentylene Glycol,pentylene glycol,Humectant,"Pentylene glycol is a multifunctional ingredient that acts as a moisturizer, solvent, and mild preservative. It provides hydration and has some antimicrobial properties.","['Dry Skin', 'Pregnancy Safe', 'Texture']","['Related Allergy']",0,2,True
Dipropylene Glycol,dipropylene glycol,Humectant,"Dipropylene glycol is used in skincare as a solvent and humectant. It helps with product texture and provides mild moisturizing benefits.","['Dry Skin', 'Pregnancy Safe']","['Related Allergy']",0,1,True
1 2-Hexanediol,1 2-hexanediol,Other,"1,2-Hexanediol is a multifunctional cosmetic ingredient used as a humectant, solvent, and preservative booster. It provides mild moisturizing effects and helps stabilize formulations.","['Pregnancy Safe']","['Related Allergy']",0,0,True
Betaine,betaine,Humectant,"Betaine is a naturally derived humectant from sugar beets. It helps retain moisture in the skin, reduces irritation, and supports the skin barrier function. It is very well tolerated even by sensitive skin.","['Dry Skin', 'Impaired Skin Barrier', 'Redness', 'Pregnancy Safe', 'Texture']","['Related Allergy']",0,4,True
Glucose,glucose,Humectant,"Glucose is a simple sugar used in skincare as a humectant and skin-conditioning agent. It helps attract moisture to the skin surface.","['Dry Skin', 'Pregnancy Safe']","['Related Allergy']",0,1,True
Fructose,fructose,Humectant,"Fructose is a natural sugar used as a humectant in skincare. It helps maintain skin hydration and is part of the skin's natural moisturizing factors.","['Dry Skin', 'Pregnancy Safe']","['Related Allergy']",0,1,True
Tromethamine,tromethamine,Other,"Tromethamine is used in skincare primarily as a pH adjuster and buffering agent. It helps maintain the optimal pH of skincare formulations for ingredient efficacy and skin compatibility.","['Pregnancy Safe']","['Related Allergy']",0,0,True
Ethylhexylglycerin,ethylhexylglycerin,Other,"Ethylhexylglycerin is a multifunctional ingredient used as a skin-conditioning agent and preservative booster. It has mild deodorant properties and helps improve the skin feel of formulations.","['Pregnancy Safe']","['Related Allergy']",0,0,True
Glutathione,glutathione,Other,"Glutathione is a powerful antioxidant naturally produced by the body. In skincare it helps brighten the complexion, reduce hyperpigmentation, and protect against oxidative damage.","['Pigmentation', 'Radiance', 'Pregnancy Safe']","['Related Allergy']",0,2,True
Hydroxypropyl Methylcellulose,hydroxypropyl methylcellulose,Other,"Hydroxypropyl methylcellulose is a cellulose-derived polymer used in skincare as a thickener, film-former, and stabilizer. It helps create a smooth texture and can form a protective film on the skin.","['Pregnancy Safe']","['Related Allergy']",0,0,True
Carbomer,carbomer,Other,"Carbomer is a synthetic polymer used in skincare as a thickening and stabilizing agent. It helps create gel-like textures in formulations and is generally well-tolerated.","['Pregnancy Safe']","['Related Allergy']",0,0,True
Disodium EDTA,disodium edta,Other,"Disodium EDTA is a chelating agent used in skincare to bind metal ions that could destabilize formulations. It helps maintain product stability and efficacy.","['Pregnancy Safe']","['Related Allergy']",0,0,True
