ingredient_name,skin_type,concerns,label,label_int,confidence,reason,sensitivity_score,breadth_score,category
Alpha-Glucan Oligosaccharide,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Other
Aloe Vera,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,4,Other
Allantoin,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Other
Algin,Sensitive,"['Acne', 'Redness']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Other
Algae Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Marine/Algae
Algae Exopolysaccharides,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Marine/Algae
Alaria Esculenta Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Alanine,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Amino Acid
Ahnfeltia Concinna Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Adenosine,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,7,Other
Acetyl Tyrosinamide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Acetyl Tetrapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Peptide
Acetyl Glucosamine,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,7,Other
Acetylarginyltryptophyl Diphenylglycine,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Amino Acid
Acai Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Ascorbic Acid,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (8),3,5,Vitamin C
Ascophyllum Nodosum Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Plant Extract
Arginine PCA,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Amino Acid
Arginine/Lysine Polypeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Arginine HCL,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Amino Acid
Arginine,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Amino Acid
Argan Oil,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,1,3,Lipid/Oil
Arbutin,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,1,2,Other
Aquagenium,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Other
Apple Stem Cells,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Apple Polyphenols,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Other
Apple Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Anti-Ageing Peptides,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Amino Acids,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,5,Amino Acid
Alteromonas Ferment Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Probiotic/Ferment
Bifida Ferment Lysate,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Beta Glucan,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,5,Other
Bakuchiol,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Azelaoyl Bis-Dipeptide,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,1,3,Peptide
Azelaic Acid,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,1,8,Other
Avocado Oil,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,1,3,Lipid/Oil
Avocado Ferment,Sensitive,"['Acne', 'Redness']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Probiotic/Ferment
Avene Thermal Water,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,5,Plant Extract
Asparagopsis Armata Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Ascorbyl Palmitate,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,1,1,Vitamin C
Ascorbyl Glucoside,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,1,5,Vitamin C
Caffeine,Sensitive,"['Acne', 'Redness']",good fit,0,3,Addresses 1 concern(s); low irritancy,0,3,Other
Caffeic Acid,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Cabbage Leaf Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Butyl Methoxydibenzoylmethane,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (5),2,1,UV Filter
Blue Mallow Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Blue Lotus Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Blueberry Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Bilberry Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Plant Extract
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (6),2,1,UV Filter
Bisabolol,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,5,Other
Bio-Active Glucosides,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Chondrus Crispus,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,3,Other
Cholesterol,Sensitive,"['Acne', 'Redness']",good fit,0,3,Moderate irritancy (2) — possible irritation for Sensitive skin [label adjusted for expert variance],0,3,Other
Chlorophyll,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Other
Chlorella Vulgaris Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Chamomile Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,2,Plant Extract
Chlorella Protothecoides Oil,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,3,Lipid/Oil
Ceramides,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,5,Ceramide
Chlorella Protothecoides,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Chemical UV Filters,Sensitive,"['Acne', 'Redness']",poor fit,2,4,"High combined irritancy score (4): category=UV Filter, sensitivity=1, desc signals=0",1,1,UV Filter
Caprooyl Sphingosine,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,4,Ceramide
Centella Asiatica,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,5,Other
Carnosine,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Caprooyl Phytosphingosine,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,4,Ceramide
Ectoin,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,2,Other
Dunaliella Salina (Green Algae) Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Marine/Algae
Dioic Acid,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Other
Cucumber Extract,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Dipeptide Diaminobutyroyl Benzylamide Diacetate,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Dipeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Copper Peptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Copper Palmitoyl Heptapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Peptide
Copper Heptapeptide-14 Pantothenate,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Coffee Seed Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Plant Extract
Citric Acid,Sensitive,"['Acne', 'Redness']",poor fit,2,4,"High combined irritancy score (4): category=AHA, sensitivity=0, desc signals=1",0,4,AHA
Cinnamon Bark,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Fomes Ofﬁcinalis (Mushroom) Extract,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Ginkgo Biloba,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Fructooligosaccharides,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Other
Feverfew Extract,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Plant Extract
Ferulic Acid,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Vitamin
Ethylhexyl Triazone,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (5),2,1,UV Filter
Ferric Hexapeptide,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Fernblock,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,0,Other
Evening Primrose Oil,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,2,Lipid/Oil
Essential Lipids,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,5,Other
Endothelyol,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Ethylhexyl Salicylate,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (3),2,1,Other
Ethyl Ascorbic Acid,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Sensitive skin,1,4,Vitamin C
Green Tea,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,2,Other
Glycosphingolipids,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,4,Ceramide
Glycoproteins,Sensitive,"['Acne', 'Redness']",good fit,0,3,Moderate irritancy (2) — possible irritation for Sensitive skin [label adjusted for expert variance],0,4,Other
Glycolipids,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,2,Other
Golden-Eye Grass Complex,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Glycolic Acid,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (7),2,8,AHA
Glycine,Sensitive,"['Acne', 'Redness']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,5,Amino Acid
Glyceryl Glucoside,Sensitive,"['Acne', 'Redness']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,4,Other
Gluconolactone,Sensitive,"['Acne', 'Redness']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,9,Other
EGCG,Sensitive,"['Acne', 'Redness']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Other
Indian Gooseberry,Sensitive,"['Acne', 'Redness']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Sensitive skin,0,1,Other
Hydroxypinacolone Retinoate,Sensitive,"['Acne', 'Redness']",poor fit,2,5,Directly flagged in avoid list for Sensitive skin and high irritancy (7),3,9,Retinoid
